"Carrer de la Poesia"	"Carrer de la Poesia"			""	""	""	""	"way"	" 157558900"	""	"{'highway': 'residential', 'name': 'Carrer de la Poesia', 'oneway': 'no'}"
"Carrer de la Pujada"	"Carrer de la Pujada"			""	""	""	""	"way"	" 157558891"	""	"{'highway': 'residential', 'name': 'Carrer de la Pujada', 'oneway': 'no'}"
"Carrer de la Pujada"	"Carrer de la Pujada"			""	""	""	""	"way"	" 257544073"	""	"{'highway': 'residential', 'name': 'Carrer de la Pujada', 'oneway': 'no', 'surface': 'asphalt'}"
"Carrer de la Rosa dels Vents"	"Carrer de la Rosa dels Vents"			""	""	""	""	"way"	" 192051286"	""	"{'highway': 'residential', 'name': 'Carrer de la Rosa dels Vents', 'oneway': 'yes'}"
"Carrer de la Rosa dels Vents"	"Carrer de la Rosa dels Vents"			""	""	""	""	"way"	" 797350507"	""	"{'highway': 'residential', 'name': 'Carrer de la Rosa dels Vents', 'oneway': 'no'}"
"Carrer de la Sardana"	"Carrer de la Sardana"			""	""	""	""	"way"	" 157559010"	""	"{'highway': 'residential', 'name': 'Carrer de la Sardana', 'oneway': 'yes'}"
"Carrer de la Sardana"	"Carrer de la Sardana"			""	""	""	""	"way"	" 797350517"	""	"{'highway': 'residential', 'name': 'Carrer de la Sardana'}"
"Carrer de la Tramuntana"	"Carrer de la Tramuntana"			""	""	""	""	"way"	" 157558955"	""	"{'highway': 'residential', 'name': 'Carrer de la Tramuntana', 'oneway': 'yes'}"
"Carrer de les Planes"	"Carrer de les Planes"			""	""	""	""	"way"	" 157558925"	""	"{'highway': 'residential', 'name': 'Carrer de les Planes'}"
"Carrer de les Vinyes"	"Carrer de les Vinyes"			""	""	""	""	"way"	" 128883496"	""	"{'highway': 'residential', 'name': 'Carrer de les Vinyes', 'oneway': 'yes'}"
"Carrer de les Vinyes"	"Carrer de les Vinyes"			""	""	""	""	"way"	" 107063795"	""	"{'highway': 'residential', 'name': 'Carrer de les Vinyes', 'oneway': 'yes'}"
"Carrer de les Vinyes"	"Carrer de les Vinyes"			""	""	""	""	"way"	" 131681054"	""	"{'highway': 'residential', 'name': 'Carrer de les Vinyes', 'oneway': 'yes'}"
"Carrer de Llevant"	"Carrer de Llevant"			""	""	""	""	"way"	" 192051281"	""	"{'highway': 'residential', 'name': 'Carrer de Llevant', 'oneway': 'yes'}"
"Carrer de Manresa"	"Carrer de Manresa"			""	""	""	""	"way"	" 192051282"	""	"{'highway': 'residential', 'name': 'Carrer de Manresa'}"
"Carrer de Maria Aurèlia Campnay"	"Carrer de Maria Aurèlia Campnay"			""	""	""	""	"way"	" 157559020"	""	"{'highway': 'residential', 'name': 'Carrer de Maria Aurèlia Campnay'}"
"Carrer de Maria Aurèlia Campnay"	"Carrer de Maria Aurèlia Campnay"			""	""	""	""	"way"	" 509984304"	""	"{'highway': 'residential', 'name': 'Carrer de Maria Aurèlia Campnay', 'oneway': 'yes'}"
"Carrer de Maria Aurèlia Campnay"	"Carrer de Maria Aurèlia Campnay"			""	""	""	""	"way"	" 257559619"	""	"{'highway': 'trunk_link', 'name': 'Carrer de Maria Aurèlia Campnay', 'oneway': 'yes'}"
"Carrer de Mestral"	"Carrer de Mestral"			""	""	""	""	"way"	" 192051283"	""	"{'highway': 'residential', 'name': 'Carrer de Mestral', 'oneway': 'yes'}"
"Carrer de Mestral"	"Carrer de Mestral"			""	""	""	""	"way"	" 797350513"	""	"{'highway': 'residential', 'name': 'Carrer de Mestral', 'oneway': 'yes'}"
"Carrer de Montserrat Roig"	"Carrer de Montserrat Roig"			""	""	""	""	"way"	" 257554952"	"name:etymology:wikidata=Q2011958"	"{'highway': 'residential', 'name': 'Carrer de Montserrat Roig', 'name:etymology:wikidata': 'Q2011958', 'oneway': 'yes'}"
"Carrer de Montserrat Roig"	"Carrer de Montserrat Roig"			""	""	""	""	"way"	" 157558855"	"name:etymology:wikidata=Q2011958"	"{'highway': 'residential', 'name': 'Carrer de Montserrat Roig', 'name:etymology:wikidata': 'Q2011958'}"
"Carrer de Puigterrà"	"Carrer de Puigterrà"			""	""	""	""	"way"	" 157558992"	""	"{'highway': 'residential', 'name': 'Carrer de Puigterrà'}"
"Carrer de Rafael Casanova"	"Carrer de Rafael Casanova"			""	""	""	""	"way"	" 157558987"	""	"{'highway': 'residential', 'name': 'Carrer de Rafael Casanova'}"
"Carrer de Sant Antoni Claver"	"Carrer de Sant Antoni Claver"			""	""	""	""	"way"	" 192051284"	""	"{'highway': 'residential', 'name': 'Carrer de Sant Antoni Claver'}"
"Carrer de Sant Honest"	"Carrer de Sant Honest"			""	""	""	""	"way"	" 257544076"	""	"{'highway': 'residential', 'name': 'Carrer de Sant Honest'}"
"Carrer de Xaloc"	"Carrer de Xaloc"			""	""	""	""	"way"	" 797350512"	""	"{'highway': 'residential', 'name': 'Carrer de Xaloc', 'oneway': 'yes'}"
"Carrer de Xaloc"	"Carrer de Xaloc"			""	""	""	""	"way"	" 157558996"	""	"{'highway': 'residential', 'name': 'Carrer de Xaloc', 'oneway': 'yes'}"
"Carrer de Xaloc"	"Carrer de Xaloc"			""	""	""	""	"way"	" 797350510"	""	"{'highway': 'residential', 'name': 'Carrer de Xaloc', 'oneway': 'yes'}"
"Carrer de Xaloc"	"Carrer de Xaloc"			""	""	""	""	"way"	" 797350511"	""	"{'highway': 'residential', 'name': 'Carrer de Xaloc', 'oneway': 'yes'}"
"Carrer del Bages"	"Carrer del Bages"			""	""	""	""	"way"	" 157558903"	""	"{'highway': 'residential', 'name': 'Carrer del Bages', 'oneway': 'no'}"
"Carrer del Bergad"	"Carrer del Bergad"			""	""	""	""	"way"	" 192051287"	""	"{'highway': 'residential', 'name': 'Carrer del Bergad', 'oneway': 'no'}"
"Carrer del Camí del Cementiri"	"Carrer del Camí del Cementiri"			""	""	""	""	"way"	" 157559022"	""	"{'highway': 'residential', 'name': 'Carrer del Camí del Cementiri'}"
"Carrer del Castell"	"Carrer del Castell"			""	""	""	""	"way"	" 157558901"	""	"{'highway': 'residential', 'name': 'Carrer del Castell'}"
"Carrer del Doctor Fleming"	"Carrer del Doctor Fleming"			""	""	""	""	"way"	" 192051288"	"name:etymology:wikidata=Q37064"	"{'highway': 'residential', 'name': 'Carrer del Doctor Fleming', 'name:etymology:wikidata': 'Q37064'}"
"Carrer del Garraf"	"Carrer del Garraf"			""	""	""	""	"way"	" 192051289"	""	"{'highway': 'residential', 'name': 'Carrer del Garraf', 'oneway': 'no'}"
"Carrer del Gironès"	"Carrer del Gironès"			""	""	""	""	"way"	" 157558976"	""	"{'highway': 'residential', 'name': 'Carrer del Gironès', 'oneway': 'no'}"
"Carrer del Llobregat"	"Carrer del Llobregat"			""	""	""	""	"way"	" 719425246"	""	"{'highway': 'residential', 'name': 'Carrer del Llobregat'}"
"Carrer del Llobregat"	"Carrer del Llobregat"			""	""	""	""	"way"	" 189838867"	""	"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Carrer del Llobregat'}"
"Carrer del Llobregat"	"Carrer del Llobregat"			""	""	""	""	"way"	" 189838871"	""	"{'highway': 'residential', 'name': 'Carrer del Llobregat'}"
"Carrer del Llobregat"	"Carrer del Llobregat"			""	""	""	""	"way"	" 257590313"	""	"{'highway': 'residential', 'name': 'Carrer del Llobregat'}"
"Carrer del Mas"	"Carrer del Mas"			""	""	""	""	"way"	" 157558995"	""	"{'highway': 'residential', 'name': 'Carrer del Mas', 'oneway': 'yes'}"
"Carrer del Mestre Vilalta"	"Carrer del Mestre Vilalta"			""	""	""	""	"way"	" 157558906"	""	"{'highway': 'residential', 'name': 'Carrer del Mestre Vilalta'}"
"Carrer del Montsià"	"Carrer del Montsià"			""	""	""	""	"way"	" 157558944"	""	"{'highway': 'residential', 'name': 'Carrer del Montsià', 'oneway': 'no'}"
"Carrer del Penedès"	"Carrer del Penedès"			""	""	""	""	"way"	" 157559025"	""	"{'highway': 'residential', 'name': 'Carrer del Penedès', 'oneway': 'no'}"
"Carrer del Priorat"	"Carrer del Priorat"			""	""	""	""	"way"	" 157558863"	""	"{'highway': 'residential', 'name': 'Carrer del Priorat', 'oneway': 'no'}"
"Carrer del Ripollès"	"Carrer del Ripollès"			""	""	""	""	"way"	" 192051290"	""	"{'highway': 'residential', 'name': 'Carrer del Ripollès', 'oneway': 'no'}"
"Carrer del Segrià"	"Carrer del Segrià"			""	""	""	""	"way"	" 192051291"	""	"{'highway': 'residential', 'name': 'Carrer del Segrià', 'oneway': 'no'}"
"Carrer del Solsonès"	"Carrer del Solsonès"			""	""	""	""	"way"	" 157558973"	""	"{'highway': 'residential', 'name': 'Carrer del Solsonès', 'oneway': 'yes'}"
"Carrer del Teatre"	"Carrer del Teatre"			""	""	""	""	"way"	" 192051292"	""	"{'highway': 'residential', 'name': 'Carrer del Teatre', 'oneway': 'no'}"
"Carrer del Teatre"	"Carrer del Teatre"			""	""	""	""	"way"	" 157558858"	""	"{'highway': 'residential', 'name': 'Carrer del Teatre', 'oneway': 'yes'}"
"Carrer del Teatre"	"Carrer del Teatre"			""	""	""	""	"way"	" 107063773"	""	"{'highway': 'residential', 'name': 'Carrer del Teatre', 'oneway': 'no'}"
"Carrer del Teatre"	"Carrer del Teatre"			""	""	""	""	"way"	" 797350515"	""	"{'highway': 'residential', 'name': 'Carrer del Teatre', 'oneway': 'no'}"
"Carrer dels Ametllers"	"Carrer dels Ametllers"			""	""	""	""	"way"	" 432084927"	""	"{'highway': 'residential', 'name': 'Carrer dels Ametllers', 'oneway': 'yes'}"
"Carrer dels Ametllers"	"Carrer dels Ametllers"			""	""	""	""	"way"	" 157570449"	""	"{'highway': 'residential', 'name': 'Carrer dels Ametllers', 'oneway': 'no'}"
"Carrer dels Cirerencs"	"Carrer dels Cirerencs"			""	""	""	""	"way"	" 157559012"	""	"{'highway': 'residential', 'name': 'Carrer dels Cirerencs', 'oneway': 'yes'}"
"Carrer dels Olivers"	"Carrer dels Olivers"			""	""	""	""	"way"	" 157559006"	""	"{'highway': 'residential', 'name': 'Carrer dels Olivers', 'oneway': 'yes'}"
"Carrer dels Olivers"	"Carrer dels Olivers"			""	""	""	""	"way"	" 432085320"	""	"{'highway': 'residential', 'name': 'Carrer dels Olivers', 'oneway': 'no'}"
"Carrer dels Pins"	"Carrer dels Pins"			""	""	""	""	"way"	" 192051293"	""	"{'highway': 'residential', 'name': 'Carrer dels Pins', 'oneway': 'no'}"
"Carrer dels Pisos Nous"	"Carrer dels Pisos Nous"			""	""	""	""	"way"	" 157571076"	""	"{'highway': 'residential', 'name': 'Carrer dels Pisos Nous'}"
"Carrer dels Pomers"	"Carrer dels Pomers"			""	""	""	""	"way"	" 192051294"	""	"{'highway': 'residential', 'name': 'Carrer dels Pomers', 'oneway': 'yes'}"
"Carrer dels Pruners"	"Carrer dels Pruners"			""	""	""	""	"way"	" 432084928"	""	"{'highway': 'residential', 'name': 'Carrer dels Pruners', 'oneway': 'yes'}"
"Carrer dels Til·lers"	"Carrer dels Til·lers"			""	""	""	""	"way"	" 131681045"	""	"{'highway': 'residential', 'name': 'Carrer dels Til·lers'}"
"Carrer dels Til·lers"	"Carrer dels Til·lers"			""	""	""	""	"way"	" 131681049"	""	"{'highway': 'residential', 'name': 'Carrer dels Til·lers'}"
"Carrer dels Xiprers"	"Carrer dels Xiprers"			""	""	""	""	"way"	" 192051296"	""	"{'highway': 'residential', 'name': 'Carrer dels Xiprers', 'oneway': 'yes'}"
