"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","id","type","name","parcial","admin_level","historic:admin_level","nCasosEditat","nObjectesEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"Principat","Baix Llobregat",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Baix Llobregat_name-calle.tsv",2809457,"relation","Baix Llobregat",FALSE,7,0,0,0,0,0
"Principat","Baix Penedès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Baix Penedès_name-calle.tsv",2822410,"relation","Baix Penedès",FALSE,7,0,0,0,0,0
"Principat","Barcelonès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Barcelonès_name-calle.tsv",2417889,"relation","Barcelonès",FALSE,7,0,0,0,0,0
"Principat","Berguedà",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Berguedà_name-calle.tsv",358838,"relation","Berguedà",FALSE,7,0,0,0,0,0
"Principat","Cerdanya",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Cerdanya_name-calle.tsv",2805972,"relation","Cerdanya",FALSE,7,0,0,0,0,0
"Principat","Conca de Barberà",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Conca de Barberà_name-calle.tsv",2822039,"relation","Conca de Barberà",FALSE,7,0,0,0,0,0
"Principat","Garraf",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Garraf_name-calle.tsv",2809538,"relation","Garraf",FALSE,7,0,0,0,0,0
"Principat","Garrigues",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Garrigues_name-calle.tsv",2819870,"relation","Garrigues",FALSE,7,0,0,0,0,0
"Principat","Garrotxa",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Garrotxa_name-calle.tsv",2806999,"relation","Garrotxa",FALSE,7,0,0,0,0,0
"Principat","Gironès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Gironès_name-calle.tsv",2807130,"relation","Gironès",FALSE,7,0,0,0,0,0
"Principat","Maresme",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Maresme_name-calle.tsv",2140187,"relation","Maresme",FALSE,7,0,0,0,0,0
"Principat","Moianès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Moianès_name-calle.tsv",4791885,"relation","Moianès",FALSE,7,0,0,0,0,0
"Principat","Montsià",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Montsià_name-calle.tsv",2827413,"relation","Montsià",FALSE,7,0,0,0,0,0
"Principat","Noguera",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Noguera_name-calle.tsv",2816276,"relation","Noguera",FALSE,7,0,0,0,0,0
"Principat","Osona",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Osona_name-calle.tsv",2422857,"relation","Osona",FALSE,7,0,0,0,0,0
