"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Fotógrafo José Gadea"	"Carrer Fotògraf José Gadea"					
"Calle de Manuel Vilar"	"Carrer de Manuel Vilar"					
"Calle de San Cayetano"	"Carrer de Sant Gaietà"					
"Calle de Manuel de Falla"	"Carrer de Manuel de Falla"					
"Calle de Félix Pizcueta"	"Carrer de Félix Pizcueta"					
"Calle de Justo Villar"	"Carrer de Justo Villar"					
"Calle de Félix Vilar"	"Carrer de Félix Vilar"					
"Calle del Río Cérvol"	"Carrer del Riu Cervol"					
"Calle Blas de Otero"	"Carrer Blas de Otero"					
"Calle de Don Crescencio Rodilla"	"Carrer de Don Crescencio Rodilla"					
"Calle del Palleter"	"Carrer del Palleter"					
"Calle de Vicente Vilar"	"Carrer de Vicente Vilar"					
"Calle del Hort"	"Carrer de l’Hort"					
"Calle de los Obradores"	"Carrer dels Obradors"					
"Calle del Doctor Peset Alexandre"	"Carrer del Doctor Peset Alexandre"					
"Calle del Río Serpis"	"Carrer del Riu Serpis"					
"Calle del Clavel"	"Carrer del Clavell"					
"Calle de Paterna"	"Carrer de Paterna"					
"Calle del Río Millares"	"Carrer del Riu Millars"					
"Calle de José Vilar"	"Carrer de José Vilar"					
"Calle de Rafael Valls"	"Carrer de Rafael Valls"					
"Calle del Montepío"	"Carrer del Montepío"					
"Calle del Cermista Gimeno"	"Carrer del Ceramista Gimeno"					
"Calle Fábricas"	"Carrer Fàbriques"					
"Calle En Bou"	"Carrer d’en Bou"					
"Calle de Olivar"	"Carrer de l’Olivar"					
"Calle Mosen Pere Espluges"	"Carrer Mossén Pere Espluges"					
"Calle Angel"	"Carrer de l’Àngel"					
"Calle Doctor José Catalá"	"Carrer Doctor José Catalá"					
"Calle del Sagrario"	"Carrer del Sagrari"					
"Calle del Obispo Soler"	"Carrer del Bisbe Soler"					
"Calle Mariano Benlliure"	"Carrer Mariano Benlliure"					
"Calle de San Edesio"	"Carrer de Sant Edesi"					
"Calle Constitución"	"Carrer Constitució"					
"Calle Gabriel López Catalá"	"Carrer Gabriel López Catalá"					
"Calle Vicente Navarro Arnal"	"Carrer Vicente Navarro Arnal"					
"Calle Escultor Octavio Vicent"	"Carrer Escultor Octavio Vicent"					
"Calle Onofre Sanmartín Rodrigo"	"Carrer Onofre Sanmartín Rodrigo"					
"Calles Santa Justa y Rufina"	"Calles Santa Justa i Rufina"					
"Calle Barrio Cuevas"						
"Calle San Pascual"	"Carrer Sant Pasqual"					
"Calle Santa Félix"	"Carrer Santa Fèlix"					
"Calle Vegas"	"Carrer Vegas"					
"Calle de la Bajada del Río"	"Carrer de la Baixada del Riu"					
"Calle Músico Morató"	"Carrer Músic Morató"					
"Calle Pintor Domingo"	"Carrer Pintor Domingo"					
"Calle de San Juan"	"Carrer de Sant Joan"					
"Calle Pozo"	"Carrer del Pou"					
"Calle Isabel la Católica"	"Carrer Isabel la Catòlica"					
"Calle Benavente"	"Carrer Benavente"					
"Calle Cisterna"	"Carrer Cisterna"					
"Calle de Sanchis Royo"	"Carrer de Sanchis Royo"					
"Calle de José María Jorge Coll"	"Carrer de José María Jorge Coll"					
"Calle Final"	"Carrer Final"					
"Calle Veinticinco de Abril"	"Carrer Vint-i-cinc d’Abril"					
"Calle del Doctor Mora Sanz"	"Carrer del Doctor Mora Sanz"					
"Calle Quart de Poblet"	"Carrer Quart de Poblet"					
"Calle Doctor Machi"	"Carrer Doctor Machi"					
"Calle Campanar"	"Carrer Campanar"					
"Calle del Verderol"	"Carrer del Verderol"					
"Calle de Teuladí"	"Carrer del Teuladí"					
"Calle del Rossinyol"	"Carrer del Rossinyol"					
"Calle de Oriol"	"Carrer de l’Oriol"					
"Calle de la Marina Alta"	"Carrer de la Marina Alta"					
"Calle del Comtat"	"Carrer del Comtat"					
"Calle de l'Alcalatén"	"Carrer de l'Alcalatén"					
"Calle de l'Alcoià"	"Carrer de l'Alcoià"					
"Calle dels Ports"	"Carrer dels Ports"					
"Calle de Plana Alta"	"Carrer de la Plana Alta"					
"Calle de la Canal de Navarrés"	"Carrer de la Canal de Navarrés"					
"Calle Vent del Nord"	"Carrer del Vent del Nord"					
"Calle Vent de Ponent"	"Carrer del Vent de Ponent"					
"Calle Vent de Tramuntana"	"Carrer del Vent de Tramuntana"					
"Calle de la Garrofera"	"Carrer de la Garrofera"					
"Calle del Gerani"	"Carrer del Gerani"					
"Calle del Trévol"	"Carrer del Trèvol"					
"Calle de la Sempreviva"	"Carrer de la Sempreviva"					
"Calle del Barranco Rubio"	"Carrer del Barranc Rúbio"					
"Calle del Codonyer"	"Carrer del Codonyer"					
"Calle del Cirerer"	"Carrer del Cirerer"					
"Calle Ametler"	"Carrer de l’Ametler"					
"Calle de l'Horta"	"Carrer de l'Horta"					
"Calle de Penáguila"	"Carrer de Penàguila"					
"Calle del Camp de Morvedre"	"Carrer del Camp de Morvedre"					
"Calle de la Hoya de Buñol"	"Carrer de la Foia de Bunyol"					
"Calle de Sueca"	"Carrer de Sueca"					
"Calle del Alto Turia"	"Carrer de l’Alt Túria"					
"Calle de la Ribera"	"Carrer de la Ribera"					
"Calle del Baix Vinalopó"	"Carrer del Baix Vinalopó"					
"Calle de Peñagolosa"	"Carrer de Penyagolosa"					
"Calle Ciudad de Barcelona"	"Carrer de la Ciutat de Barcelona"					
"Calle Barranco de Serra"	"Carrer del Barranc de Serra"					
"Calle Ciudad de Gibrartar"	"Carrer de la Ciutat de Gibrartar"					
"Calle Onteniente"	"Carrer d’Ontinyent"					
"Calle Ciudad de Cartagena"	"Carrer de la Ciutat de Cartagena"					
"Calle Villa de Bilbao"	"Carrer de la Vil·la de Bilbao"					
"Calle Ciudad de Eibar"	"Carrer de la Ciutat d’Eibar"					
"Calle Ciudad del Ferrol"	"Carrer de la Ciutat de Ferrol"					
"Calle Islas Canarias"	"Carrer Illes Canàries"					
"Calle Mijares"	"Carrer del Millars"					
"Calle María Auxiliadora"	"Carrer de Maria Auxiliadora"					
"Calle de Nicolás David"	"Carrer de Nicolás David"					
