"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(81996);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"node"	1398631000	"Чернь"			""	"Txern"	"Txern"	"Q4514386"	"official_name=деревня Чернь"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Чернь', 'official_name': 'деревня Чернь', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '6', 'population:date': '2010', 'wikidata': 'Q4514386', 'wikipedia': 'ru:Чернь (Смоленская область)'}"
"node"	1406986334	"Ступники"			""	"Stúpniki"	"Stúpniki"	"Q4444716"	"official_name=деревня Ступники"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Ступники', 'official_name': 'деревня Ступники', 'official_status': 'ru:деревня', 'oktmo:user': '66650475146', 'place': 'hamlet', 'population': '0', 'population:date': '2010', 'wikidata': 'Q4444716', 'wikipedia': 'ru:Ступники'}"
"node"	1398630972	"Ломенка"			""	"Lomenka"	"Lomenka"	"Q4266167"	"official_name=деревня Ломенка"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Ломенка', 'official_name': 'деревня Ломенка', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '2', 'population:date': '2010', 'wikidata': 'Q4266167', 'wikipedia': 'ru:Ломенка (Смоленская область)'}"
"node"	1398631005	"Шумихино"			""	"Xumíkhino"	"Xumíkhino"	"Q4527777"	"official_name=деревня Шумихино"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Шумихино', 'official_name': 'деревня Шумихино', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '1', 'population:date': '2010', 'wikidata': 'Q4527777', 'wikipedia': 'ru:Шумихино (Смоленская область)'}"
"node"	1398630949	"Борисенки"			""	"Boríssenki"	"Boríssenki"	"Q4093765"	"official_name=деревня Борисенки"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Борисенки', 'official_name': 'деревня Борисенки', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '2', 'population:date': '2010', 'wikidata': 'Q4093765', 'wikipedia': 'ru:Борисенки (Угранский район)'}"
"node"	1772297882	"Песьково"			""	"Péskovo"	"Péskovo"	"Q4360130"	"official_name=деревня Песьково"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Песьково', 'official_name': 'деревня Песьково', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '5', 'population:date': '2010', 'wikidata': 'Q4360130', 'wikipedia': 'ru:Песьково'}"
"node"	1772297894	"Старая Лука"			""	"Stàraia Luka"	"Stàraia Luka"	"Q4439717"	"official_name=деревня Старая Лука"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Старая Лука', 'official_name': 'деревня Старая Лука', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '20', 'population:date': '2010', 'wikidata': 'Q4439717', 'wikipedia': 'ru:Старая Лука'}"
"node"	2895031081	"Никола"			""	"Nikolai, Николай"	""	"Q5486169"	"official_name=деревня Никола"	"{'addr:country': 'RU', 'addr:district': 'Холм-Жирковский район', 'addr:region': 'Смоленская область', 'name': 'Никола', 'official_name': 'деревня Никола', 'official_status': 'ru:деревня', 'oktmo:user': '66654420136', 'place': 'locality', 'population': '0', 'population:date': '2010', 'wikidata': 'Q5486169', 'wikipedia': 'ru:Никола'}"
"node"	276588782	"Тёмкино"			""	"Tiómkino (poble de la província de Smolensk), Tiómkino"	"Tiómkino (poble de la província de Smolensk)"	"Q4468065"	""	"{'addr:country': 'RU', 'addr:district': 'Тёмкинский район', 'addr:region': 'Смоленская область', 'name': 'Тёмкино', 'place': 'village', 'wikidata': 'Q4468065', 'wikipedia': 'ru:Тёмкино (село, Смоленская область)'}"
"node"	1838490426	"Царёво-Займище"			""	"Tsariovo-Zàimisxe"	"Tsariovo-Zàimisxe"	"Q1994363"	"official_name=деревня Царёво-Займище"	"{'addr:country': 'RU', 'addr:district': 'Вяземский район', 'addr:region': 'Смоленская область', 'name': 'Царёво-Займище', 'official_name': 'деревня Царёво-Займище', 'official_status': 'ru:деревня', 'place': 'village', 'population': '264', 'population:date': '2010', 'wikidata': 'Q1994363', 'wikipedia': 'ru:Царёво-Займище (Смоленская область)'}"
