"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","type","id","name","parcial","admin_level","historic:admin_level","informe"
"Principat","Conca de Barberà",0,0,0,0,TRUE,"relation",2822039,"Conca de Barberà",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Conca de Barberà_name-avenida.tsv"
"Principat","Garraf",0,0,0,0,TRUE,"relation",2809538,"Garraf",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Garraf_name-avenida.tsv"
"Principat","Garrigues",0,0,0,0,TRUE,"relation",2819870,"Garrigues",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Garrigues_name-avenida.tsv"
"Principat","Garrotxa",0,0,0,0,TRUE,"relation",2806999,"Garrotxa",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Garrotxa_name-avenida.tsv"
"Principat","Gironès",0,0,0,0,TRUE,"relation",2807130,"Gironès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Gironès_name-avenida.tsv"
"Principat","Maresme",0,0,0,0,TRUE,"relation",2140187,"Maresme",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Maresme_name-avenida.tsv"
"Principat","Moianès",0,0,0,0,TRUE,"relation",4791885,"Moianès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Moianès_name-avenida.tsv"
"Principat","Montsià",0,0,0,0,TRUE,"relation",2827413,"Montsià",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Montsià_name-avenida.tsv"
"Principat","Noguera",0,0,0,0,TRUE,"relation",2816276,"Noguera",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Noguera_name-avenida.tsv"
"Principat","Osona",0,0,0,0,TRUE,"relation",2422857,"Osona",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Osona_name-avenida.tsv"
"Principat","Pallars Jussà",0,0,0,0,TRUE,"relation",2810954,"Pallars Jussà",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Pallars Jussà_name-avenida.tsv"
"Principat","Pallars Sobirà",0,0,0,0,TRUE,"relation",2810705,"Pallars Sobirà",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Pallars Sobirà_name-avenida.tsv"
"Principat","Pla d'Urgell",0,0,0,0,TRUE,"relation",2819346,"Pla d'Urgell",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Pla d'Urgell_name-avenida.tsv"
"Principat","Pla de l'Estany",0,0,0,0,TRUE,"relation",2807146,"Pla de l'Estany",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Pla de l'Estany_name-avenida.tsv"
"Principat","Priorat",0,0,0,0,TRUE,"relation",2826145,"Priorat",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Priorat_name-avenida.tsv"
"Principat","Ribera d'Ebre",0,0,0,0,TRUE,"relation",2829952,"Ribera d'Ebre",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Ribera d'Ebre_name-avenida.tsv"
"Principat","Ripollès",0,0,0,0,TRUE,"relation",2806754,"Ripollès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Ripollès_name-avenida.tsv"
"Principat","Segarra",0,0,0,0,TRUE,"relation",2815579,"Segarra",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Segarra_name-avenida.tsv"
"Principat","Segrià",0,0,0,0,TRUE,"relation",2819857,"Segrià",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Segrià_name-avenida.tsv"
"Principat","Selva",0,0,0,0,TRUE,"relation",368462,"Selva",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Selva_name-avenida.tsv"
"Principat","Solsonès",0,0,0,0,TRUE,"relation",2809162,"Solsonès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Solsonès_name-avenida.tsv"
"Principat","Tarragonès",0,0,0,0,TRUE,"relation",2822691,"Tarragonès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Tarragonès_name-avenida.tsv"
"Principat","Terra Alta",0,0,0,0,TRUE,"relation",2829953,"Terra Alta",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Terra Alta_name-avenida.tsv"
"Principat","Urgell",0,0,0,0,TRUE,"relation",2818895,"Urgell",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Urgell_name-avenida.tsv"
"Principat","Vallès Occidental",0,0,0,0,TRUE,"relation",2350067,"Vallès Occidental",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Vallès Occidental_name-avenida.tsv"
"Principat","Vallès Oriental",0,0,0,0,TRUE,"relation",2417929,"Vallès Oriental",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Vallès Oriental_name-avenida.tsv"
"Sardenya","L'Alguer",0,0,0,0,TRUE,"relation",40581,"Alghero - L'Alguer",FALSE,8,NA,"PPCC/avenida-avinguda/informes/informe-Sardenya-L'Alguer_name-avenida.tsv"
