"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Mas Cassà"	"Mas Cassà"						
"Mas Fortuna"	"Mas Fortuna"						
"Mas de les Heures"	"Mas de les Heures"						
"Mas Galera"	"Mas Galera"						
"Mas Llimoners"	"Mas Llimoners"						
"Mas Noguer"	"Mas Noguer"						
"Mas Llorer"	"Mas Llorer"						
"Mas Xifrer"	"Mas Xifrer"						
"Mas la Terrera"	"Mas la Terrera"						
"Mas Ral"	"Mas Ral"						
"Mas Marquès"	"Mas Marquès"						
"Mas d'en Pi"	"Mas d'en Pi"						
"Horts de la Pedrosa"	"Horts de la Pedrosa"						
"Rec del Moli de Pals"	"Rec del Moli de Pals"						
"Rec Massot"	"Rec Massot"						
"Rec del Molí"	"Rec del Molí"						
"Rec del Ter Vell"	"Rec del Ter Vell"						
"Rec de la Branca"	"Rec de la Branca"						
"Ajuntament de Torroella de Montgrí"	"Ajuntament de Torroella de Montgrí"						
"Mas Cremat"	"Mas Cremat"						
"Rec de les Closes del Mas Ferrer"	"Rec de les Closes del Mas Ferrer"						
"Castell Montgrí"	"Castell Montgrí"						
"Rec Vell"	"Rec Vell"						
"Mas Sec"	"Mas Sec"						
"Rec Fondo"	"Rec Fondo"						
"Palau Lo Mirador"	"Palau Lo Mirador"						
"Platja de Montgó"	"Platja de Montgó"						
"Platja del Racó del Rec Fondo"	"Platja del Racó del Rec Fondo"						
"Mas de Pauet"	"Mas de Pauet"						
"Mas de Vilella"	"Mas de Vilella"						
"Bosc de la Vila"	"Bosc de la Vila"						
"Bosc de Gràcia"	"Bosc de Gràcia"						
"Mas de Moresc"	"Mas de Moresc"						
"Mas de la Cossa"	"Mas de la Cossa"						
"Mas de la Mosca"	"Mas de la Mosca"						
"Mas del Rubió"	"Mas del Rubió"						
"riu Francolí"	"riu Francolí"						
"Mas de Rafalet"	"Mas de Rafalet"						
"Mas de Palero"	"Mas de Palero"						
"Mas de Maseter"	"Mas de Maseter"						
"Mas de Tinet"	"Mas de Tinet"						
"Mas de Corbella"	"Mas de Corbella"						
"Mas del Murtrar"	"Mas del Murtrar"						
"Mas de l'Esmolador"	"Mas de l'Esmolador"						
"Mas de Gaspar"	"Mas de Gaspar"						
"Mas de la Xarina"	"Mas de la Xarina"						
"Mas de Siurana"	"Mas de Siurana"						
"Mas de la Cuca"	"Mas de la Cuca"						
"Hort de la Morilla"	"Hort de la Morilla"						
"Mas de la Puça"	"Mas de la Puça"						
"Mas de l'Aranya"	"Mas de l'Aranya"						
"Mas de Barro"	"Mas de Barro"						
"Mas de Llaneta"	"Mas de Llaneta"						
"Mas de Gomis"	"Mas de Gomis"						
"Mas de Gràcia"	"Mas de Gràcia"						
"Mas de la Picarilla"	"Mas de la Picarilla"						
