"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Carrer del Canigó"	"Carrer del Canigó"						
"Carrer de Terra Baixa"	"Carrer de Terra Baixa"						
"Carrer de Batllori"	"Carrer de Batllori"						
"Carrer de Plini"	"Carrer de Plini"						
"Parc de la Cabana"	"Parc de la Cabana"						
"Carrer de Granada"	"Carrer de Granada"						
"Avinguda de Ponent"	"Avinguda de Ponent"						
"Avinguda del Nord"	"Avinguda del Nord"						
"Carrer de les Mimoses"	"Carrer de les Mimoses"						
"Carrer d'Almeria"	"Carrer d'Almeria"						
"Plaça de Granada"	"Plaça de Granada"	"Plaça dels Escacs"	"Plaça dels Escacs"				
"Parc de la Pau"	"Parc de la Pau"						
"Carrer de la Primavera"	"Carrer de la Primavera"						
"Carrer dels Garrofers"	"Carrer dels Garrofers"						
"Carrer del Clotet"	"Carrer del Clotet"						
"Carrer del Gasòmetre"	"Carrer del Gasòmetre"						
"Carrer de la Cooperativa"	"Carrer de la Cooperativa"						
"Carrer d'Albareda"	"Carrer d'Albareda"						
"Carrer del Doctor Gregorio Marañón"	"Carrer del Doctor Gregorio Marañón"						
"Carrer de la Cultura"	"Carrer de la Cultura"						
"Carrer de Gonçal Pons"	"Carrer de Gonçal Pons"						
"Carrer de l'Amistat"	"Carrer de l'Amistat"						
"Carrer de Corominas"	"Carrer de Corominas"						
"Carrer del Transformador"	"Carrer del Transformador"						
"Carrer de Terrè"	"Carrer de Terrè"						
"Carrer de Ponsich"	"Carrer de Ponsich"						
"Carrer d'Albareda"	"Carrer d'Albareda"	"Carrer de l'Albereda"	"Carrer de l'Albereda"				
"Parc de la Torrassa"	"Parc de la Torrassa"						
"Carrer de Justa Goicoechea"	"Carrer de Justa Goicoechea"						
"Carrer del Patronat"	"Carrer del Patronat"						
"Carrer de la Glòria"	"Carrer de la Glòria"						
"Carrer de Carrasco i Formiguera"	"Carrer de Carrasco i Formiguera"						
"Plaça de l'UNICEF"	"Plaça de l'UNICEF"						
"Carrer de Salamina"	"Carrer de Salamina"						
"Carrer de Can Pujadas"	"Carrer de Can Pujadas"						
"Plaça de Provençana"	"Plaça de Provençana"						
"Plaça de Can Trinxet"	"Plaça de Can Trinxet"						
"Carrer de la Pubilla Cases"	"Carrer de la Pubilla Cases"						
"Carrer de Toledo"	"Carrer de Toledo"						
"Carrer d'Oviedo"	"Carrer d'Oviedo"						
"Carrer de Belchite"	"Carrer de Belchite"						
"Carrer dels Naranjos"	"Carrer dels Naranjos"						
"Carrer de Calderón de la Barca"	"Carrer de Calderón de la Barca"						
"Carrer de Covadonga"	"Carrer de Covadonga"						
"Plaça de l'Alzina"	"Plaça de l'Alzina"						
"Avinguda del Bosc"	"Avinguda del Bosc"						
"Carrer de les Amapolas"	"Carrer de les Amapolas"						
"Avinguda de Severo Ochoa"	"Avinguda de Severo Ochoa"						
"Carrer de les Roses"	"Carrer de les Roses"						
"Carrer de Simancas"	"Carrer de Simancas"						
"Carrer de Vinaròs"	"Carrer de Vinaròs"						
"Carrer de la Mina"	"Carrer de la Mina"						
"Carrer de la Maladeta"	"Carrer de la Maladeta"						
"Carrer d'Amadeu Vives"	"Carrer d'Amadeu Vives"						
"Avinguda del Torrent"	"Avinguda del Torrent"						
"Plaça de la Bòbila"	"Plaça de la Bòbila"						
"Carrer de Marcel·lí Esquius"	"Carrer de Marcel·lí Esquius"						
"Carrer de Finestrelles"	"Carrer de Finestrelles"						
"Carrer d'Esteve Grau"	"Carrer d'Esteve Grau"						
"Carrer d'Òrrius"	"Carrer d'Òrrius"						
"Carrer d'El Empecinado"	"Carrer d'El Empecinado"						
"Carrer del Mont-ras"	"Carrer del Mont-ras"						
"Carrer de l'El·lipse"	"Carrer de l'El·lipse"						
"Carrer del General Manso"	"Carrer del General Manso"						
"Carrer del Mestre Serrano"	"Carrer del Mestre Serrano"						
"Carrer d'Albéniz"	"Carrer d'Albéniz"						
"Avinguda de Tomás Giménez"	"Avinguda de Tomás Giménez"						
"Carrer de l'Empordà"	"Carrer de l'Empordà"						
"Avinguda de Josep Molins"	"Avinguda de Josep Molins"						
"Carrer d'Empúries"	"Carrer d'Empúries"						
"Plaça de la Pubilla Cases"	"Plaça de la Pubilla Cases"						
"Carrer de Josep Sunyol i Garriga"	"Carrer de Josep Sunyol i Garriga"						
"Carrer de les Aigües del Llobregat"	"Carrer de les Aigües del Llobregat"						
"Carrer de Numància"	"Carrer de Numància"						
"Carrer de Diògenes"	"Carrer de Diògenes"						
"Carrer d'Ibèria"	"Carrer d'Ibèria"						
"Avinguda de Miraflores"	"Avinguda de Miraflores"						
"Plaça de la Mare de Déu del Pilar"	"Plaça de la Mare de Déu del Pilar"						
"Avinguda del Doctor Ramon Solanich i Riera"	"Avinguda del Doctor Ramon Solanich i Riera"						
"Carrer Pedraforca"	"Carrer Pedraforca"						
"Carrer de Llevant"	"Carrer de Llevant"						
"Carrer del Pedraforca"	"Carrer del Pedraforca"						
"Carrer de Castellvell"	"Carrer de Castellvell"						
"Carrer de Sevilla"	"Carrer de Sevilla"						
"Plaça d'Eivissa"	"Plaça d'Eivissa"						
"Carrer de l'Antiga Travessera"	"Carrer de l'Antiga Travessera"						
"Carrer de Cervantes"	"Carrer de Cervantes"						
"Carrer de Collserola"	"Carrer de Collserola"						
"Carrer de la Mare de Déu de la Llum"	"Carrer de la Mare de Déu de la Llum"						
"Plaça de la Llibertat"	"Plaça de la Llibertat"						
"Plaça de Federico García Lorca"	"Plaça de Federico García Lorca"						
"Carrer de l'Enginyer Moncunill"	"Carrer de l'Enginyer Moncunill"						
"Carrer de Piera"	"Carrer de Piera"						
"Carrer de Floridablanca"	"Carrer de Floridablanca"						
"Carrer de Luarca"	"Carrer de Luarca"						
"Carrer de Font"	"Carrer de Font"						
"Avinguda de Manuel Azaña"	"Avinguda de Manuel Azaña"						
"Carrer de Gravina"	"Carrer de Gravina"						
"Carrer de la Mare de Déu de Puigcerver"	"Carrer de la Mare de Déu de Puigcerver"						
"Carrer de Carles Ferrer Salat"	"Carrer de Carles Ferrer Salat"						
"Carrer de Pujós"	"Carrer de Pujós"						
"Carrer del Mont"	"Carrer del Mont"						
"Carrer de Graner"	"Carrer de Graner"						
"Carrer de Rius i Carrió"	"Carrer de Rius i Carrió"						
"Carrer del Cinca"	"Carrer del Cinca"						
"Carrer d'Albiol"	"Carrer d'Albiol"						
"Carrer de Cotonat"	"Carrer de Cotonat"						
"Carrer del Dos de Maig"	"Carrer del Dos de Maig"						
"Carrer de Sort"	"Carrer de Sort"						
"Carrer de Mercader"	"Carrer de Mercader"						
"Carrer del Jardí"	"Carrer del Jardí"						
"Carrer de l'Atlàntida"	"Carrer de l'Atlàntida"						
"Carrer de Ferré"	"Carrer de Ferré"						
"Carrer de la Mare de Déu de Núria"	"Carrer de la Mare de Déu de Núria"						
"Parc dels Ocellets"	"Parc dels Ocellets"						
"Carrer de Rosich"	"Carrer de Rosich"						
"Camí de la Torre Melina"	"Camí de la Torre Melina"						
"Carrer d'Alacant"	"Carrer d'Alacant"						
"Carrer de Mistral"	"Carrer de Mistral"						
"Carrer de la Creu Roja"	"Carrer de la Creu Roja"						
"Carrer de la Vinyeta"	"Carrer de la Vinyeta"						
"Plaça del Cadí"	"Plaça del Cadí"						
"Carrer de l'Estudi"	"Carrer de l'Estudi"						
"Carrer d'Ernest Lluch"	"Carrer d'Ernest Lluch"						
"Plaça d'Ernest Lluch"	"Plaça d'Ernest Lluch"						
"Carrer d'Antonio Machado"	"Carrer d'Antonio Machado"						
"Plaça de Canalejas"	"Plaça de Canalejas"						
"Carrer de Felip Pedrell"	"Carrer de Felip Pedrell"						
"Carrer de la Terra Alta"	"Carrer de la Terra Alta"						
"Carrer de Claret"	"Carrer de Claret"						
"Carrer de Salvador Seguí"	"Carrer de Salvador Seguí"						
"Carrer de Rafael Campalans"	"Carrer de Rafael Campalans"						
"Carrer d'Orient"	"Carrer d'Orient"						
"Carrer de París"	"Carrer de París"						
"Carrer de Besa"	"Carrer de Besa"						
"Carrer d'Estruch"	"Carrer d'Estruch"						
"Carrer de Goya"	"Carrer de Goya"						
"Carrer de Fortuny"	"Carrer de Fortuny"						
"Carrer d'Occident"	"Carrer d'Occident"						
"Carrer del Doctor Jaume Ferran i Clua"	"Carrer del Doctor Jaume Ferran i Clua"						
"Carrer de Vaquer"	"Carrer de Vaquer"						
"Carrer de Martorell"	"Carrer de Martorell"						
"Plaça del Mercat de Collblanc"	"Plaça del Mercat de Collblanc"						
"Carrer de Rabarté"	"Carrer de Rabarté"						
"Plaça de les Vidrieries Llobregat"	"Plaça de les Vidrieries Llobregat"						
"Carrer de la Riera Blanca"	"Carrer de la Riera Blanca"						
"Plaça de Guernica"	"Plaça de Guernica"						
"Carrer de Llavinés"	"Carrer de Llavinés"						
"Carrer de Farnés"	"Carrer de Farnés"						
"Carrer de Torns"	"Carrer de Torns"						
"Parc de la Marquesa"	"Parc de la Marquesa"						
"Plaça dels Pirineus"	"Plaça dels Pirineus"						
"Plaça de les Germanes Ocaña"	"Plaça de les Germanes Ocaña"						
"Carrer de Pérez Galdós"	"Carrer de Pérez Galdós"						
"Plaça de la Solidaritat"	"Plaça de la Solidaritat"						
"Carrer de Francesc Layret"	"Carrer de Francesc Layret"						
"Carrer de l'Onze de Setembre"	"Carrer de l'Onze de Setembre"						
"Carrer de la Igualtat"	"Carrer de la Igualtat"						
